RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
30,2,4,13,NA
19,1,3,99,NA
8,1,4,14,2.37
78,1,3,6,2.57
63,1,3,4,1.4
37,2,3,15,3.21
8,2,4,4,0.54
27,1,6,15,3.4
56,2,1,99,NA
80,2,3,5,1.65
55,1,4,15,3.79
66,2,3,13,NA
40,1,3,15,5
10,1,3,9,1.55
10,2,3,5,1.46
5,1,4,9,1.18
67,1,3,6,1.79
48,1,1,7,1.29
12,2,1,7,1.16
24,2,1,99,NA
62,1,3,5,1.4
10,1,7,15,3.98
15,1,6,14,3.25
39,1,1,15,4.07
41,2,4,15,2.49
20,2,6,12,NA
41,1,6,15,5
80,1,3,NA,NA
6,1,3,15,3.4
25,2,4,NA,NA
40,2,6,12,NA
41,1,6,15,5
34,1,3,15,5
28,1,6,12,NA
14,1,3,6,1.54
36,1,3,7,1.63
8,2,3,15,3.73
61,2,6,15,5
7,2,3,7,1.22
11,1,2,1,0.07
52,1,3,NA,NA
70,2,3,3,1.08
13,2,4,15,3.47
31,1,7,8,2.03
54,2,3,6,1
11,1,3,12,NA
35,2,3,15,5
80,1,2,NA,NA
24,1,7,7,1.21
54,2,6,15,5
1,2,4,4,0.61
0,2,3,14,3.67
39,1,1,2,0.29
0,1,3,14,3.74
30,1,3,9,3.94
18,2,7,10,3.37
40,2,4,9,2.97
50,1,3,15,3.79
42,1,7,15,3.21
52,2,3,15,5
80,1,3,14,5
2,2,1,5,1.23
66,1,4,5,1.4
22,1,1,6,1.88
53,2,6,7,2.46
13,1,4,14,0
49,2,6,15,5
30,1,2,15,3.32
0,2,4,6,1.04
34,2,3,6,1.1
26,1,7,9,2.04
24,1,3,7,1.22
66,2,1,3,0.91
8,1,3,15,5
41,2,3,8,1.99
2,2,4,9,1.51
61,2,4,6,1.52
60,1,4,3,0.85
54,2,6,15,5
0,1,3,15,5
80,1,3,6,2.07
52,1,6,15,4.81
30,2,2,10,4.25
0,1,3,10,1.75
1,1,3,4,0.67
57,1,4,10,2.99
33,2,3,4,0.6
33,1,6,14,3.66
40,1,4,15,3.82
35,1,3,14,3.92
14,2,2,5,0.68
59,1,3,5,1.66
54,2,3,7,1.68
0,2,2,3,0.25
66,2,4,NA,NA
57,1,6,1,0.19
16,1,3,7,1.67
29,2,3,10,5
52,2,6,NA,NA
57,2,3,1,0
75,2,6,8,3.08
32,2,3,10,2.79
61,2,2,5,0.81
7,2,4,77,NA
35,1,1,7,1.16
32,2,3,4,0.65
39,2,3,15,5
64,2,3,6,1.85
12,1,2,NA,NA
12,2,6,15,5
2,2,3,5,0.98
0,2,4,2,0.13
12,2,3,15,5
3,1,2,99,NA
11,2,3,6,0.73
24,2,3,8,1.83
23,2,4,15,4.98
60,1,3,14,3.03
18,2,1,NA,NA
27,2,4,14,2.99
75,2,1,6,2.74
25,2,6,15,3.82
7,1,1,3,0.37
13,1,1,15,4.2
79,1,4,8,3.73
46,2,1,13,NA
11,2,2,14,2.65
71,1,3,7,2.31
7,2,6,8,1.99
25,2,7,8,2.15
56,1,3,14,3.85
6,2,6,15,3.67
30,2,3,6,1.18
70,1,7,4,1.11
54,1,3,14,5
4,2,6,7,1.02
64,2,4,14,4.57
3,1,3,7,1.18
38,2,3,1,0.09
1,2,2,4,0.69
4,1,4,14,3.25
10,1,2,12,1.1
5,2,6,15,4.55
80,2,3,NA,NA
20,1,1,99,NA
39,2,2,10,4.43
46,2,3,15,4.15
45,1,3,15,3.98
67,1,4,3,0.99
10,1,7,5,0.59
55,2,2,15,5
54,2,2,3,0.41
12,2,7,2,0.28
12,2,1,4,0.6
59,1,6,15,5
59,2,1,4,0.91
60,1,6,15,5
28,1,7,NA,NA
60,2,2,15,5
26,1,7,5,1.18
64,1,6,15,5
34,2,2,15,5
62,1,2,3,0.89
46,1,2,7,1.39
45,2,1,14,2.72
80,1,3,6,2.64
66,2,4,6,1.02
55,2,3,3,1.01
80,2,3,15,5
4,1,4,4,0.73
62,2,4,9,1.29
50,1,1,7,1.19
80,1,4,9,1.58
8,1,4,15,3.34
62,2,3,7,3.15
61,2,3,7,2.34
54,2,1,4,0.72
59,1,3,8,2.2
36,2,1,6,0.87
5,1,3,15,4.39
2,1,3,2,0.37
17,1,1,4,0.4
69,2,4,6,2.07
1,2,3,15,4.76
44,1,1,7,1.22
69,1,3,14,4.93
61,1,3,9,2.65
8,2,6,15,4.17
33,1,6,14,3.92
0,1,1,6,1
69,1,2,8,3.78
29,1,3,15,5
9,1,1,4,0.68
2,1,1,3,0.31
79,2,3,8,4.15
19,2,3,NA,NA
0,2,1,15,5
79,2,3,7,2.46
80,1,6,15,5
69,2,3,14,5
7,1,2,15,4.04
61,2,6,8,2.77
80,2,7,4,0.92
80,2,3,5,1.74
19,1,3,2,0.62
1,2,3,14,3.94
12,2,4,7,0.3
16,2,1,15,5
11,1,1,15,4.63
52,1,1,99,NA
36,1,3,15,5
15,2,4,14,3.3
78,2,4,5,1.69
80,1,3,12,NA
62,2,3,6,1.18
23,2,4,6,1.54
20,2,7,8,1.54
0,2,2,7,1.19
64,2,6,14,5
72,1,3,15,5
7,1,3,15,5
7,2,1,4,0.63
46,2,1,15,5
19,1,1,12,NA
11,2,3,14,2.43
64,1,1,12,1.72
13,2,3,2,0.28
3,1,3,10,2.95
2,2,3,8,1.52
28,1,1,7,1.82
60,2,3,6,2.02
20,1,4,99,NA
1,1,3,2,0.33
60,2,3,9,3.65
57,2,3,7,1.88
50,2,2,13,NA
57,1,4,10,2.64
11,2,3,12,0.81
12,2,3,4,0.6
33,1,2,77,NA
50,2,4,NA,NA
55,1,2,6,1.1
13,1,6,6,1
62,2,4,6,1.54
34,2,6,12,NA
35,1,4,10,5
7,1,4,77,NA
27,2,4,99,NA
39,2,3,14,3.05
14,1,4,1,0
28,1,1,99,NA
61,2,2,6,1.02
37,2,2,8,3.04
10,1,2,9,0
49,2,4,15,4.86
72,2,6,15,5
49,2,2,4,1.15
17,1,1,4,0.72
71,1,4,15,5
5,1,7,6,1.52
3,1,4,7,1.26
18,1,7,6,1.64
15,2,2,99,NA
2,2,3,6,0.91
80,1,3,NA,NA
18,2,1,7,1.73
14,1,4,99,NA
68,1,3,6,1.75
23,1,2,15,5
64,2,3,4,0.92
10,1,7,5,0.59
80,2,3,14,5
56,1,6,15,5
63,2,1,14,5
60,2,6,15,5
66,1,1,12,NA
13,2,1,3,0.69
22,2,3,15,4.04
53,1,6,7,2.16
64,1,2,3,0.48
35,1,3,8,1.53
18,2,6,6,1.47
9,2,4,4,0.52
28,1,3,3,0.99
17,1,7,14,3.04
66,2,2,3,0.4
26,1,6,15,5
2,1,4,NA,NA
8,1,4,6,0.94
2,2,3,14,3.74
68,2,4,5,0.74
45,2,1,99,NA
77,1,3,5,1.46
24,2,3,8,3.48
59,2,1,6,1.64
34,1,3,15,3.4
72,1,3,6,1.52
7,2,3,8,1.77
36,2,6,12,NA
59,2,3,15,5
49,1,3,15,5
8,1,3,14,1.93
3,1,1,99,NA
13,2,4,12,NA
54,2,6,15,5
64,1,3,6,1.82
21,2,1,7,1.49
43,1,6,15,4.07
2,2,3,14,2.65
54,2,3,15,5
58,2,4,7,1.68
9,2,3,6,1.3
16,2,3,14,3.06
0,2,3,6,0.73
8,2,4,6,1.02
63,2,1,15,4.93
69,1,6,1,0
26,2,2,14,3.59
77,1,6,NA,NA
70,1,3,15,5
2,1,2,14,3.66
80,1,3,15,5
73,2,3,12,NA
56,1,6,14,3.85
62,1,4,3,0.76
45,2,4,14,3.67
0,2,2,15,5
80,1,4,3,0.86
23,2,3,15,2.97
67,2,6,10,2.79
3,2,4,4,0.54
19,2,3,14,4.57
0,1,3,8,2.41
67,2,4,15,5
18,1,6,15,5
5,2,3,12,NA
23,2,1,12,NA
17,2,4,6,1.04
27,2,4,4,0
2,1,7,99,NA
43,2,2,4,0.94
23,1,2,14,4.74
12,1,6,7,1.36
5,1,4,6,1.82
80,1,3,14,5
0,2,1,6,0.5
69,2,4,77,NA
15,1,4,12,NA
59,1,3,6,2.07
70,1,3,15,5
62,1,1,8,2.45
10,2,7,7,1.63
18,2,3,1,0.17
5,1,4,1,0
63,1,3,15,5
15,2,4,15,5
76,2,6,14,5
7,2,3,15,4.76
30,2,6,15,2.66
60,1,4,1,0.07
80,1,7,5,1.48
66,2,7,6,0.85
31,2,3,7,2.88
48,1,6,8,1.99
27,1,3,7,2.13
38,2,4,4,0.87
66,2,4,6,1.85
23,2,3,10,3.37
22,2,3,9,2.79
15,1,7,15,4.17
70,2,7,4,1.03
8,2,6,15,5
43,1,1,14,3.88
8,2,3,4,0.6
11,1,6,14,3.86
51,1,3,8,2.57
50,2,6,9,2.09
48,2,6,2,0.32
63,2,6,9,3.39
22,1,1,6,1.37
17,1,3,7,1.96
7,2,3,14,2.95
75,1,7,13,NA
43,1,2,7,1.29
80,2,6,15,5
13,1,4,15,3.23
10,2,1,9,1.58
33,1,1,3,0.41
18,1,3,3,0.86
16,1,3,6,1.06
63,1,1,NA,NA
58,2,2,15,5
54,1,1,14,3.85
80,1,6,8,2.59
41,2,2,4,0.62
62,1,6,NA,NA
39,1,6,15,4.81
9,2,7,5,0.59
31,2,7,2,0.28
17,2,4,4,0.6
60,2,4,2,0.31
58,2,4,8,2.73
43,1,2,9,2.04
75,2,4,14,5
20,1,3,15,5
28,2,4,5,0.68
17,2,3,7,2.16
35,2,6,15,3.03
27,2,1,7,1.71
14,2,6,15,4.17
64,1,3,15,5
14,2,1,99,NA
48,2,6,15,3.82
1,2,3,7,1.96
2,1,7,NA,NA
80,1,7,7,2.46
12,2,7,6,1.25
69,2,3,8,3.87
64,2,6,8,1.79
24,2,6,12,NA
65,1,2,5,0.7
40,1,6,15,3.47
18,2,3,14,3.71
22,2,3,5,1.73
10,2,3,9,1.82
11,2,7,15,3.21
54,2,6,15,5
2,1,6,9,3.65
41,2,4,8,3.28
15,2,3,6,0.76
41,1,4,9,3.34
48,1,6,7,1.79
0,2,2,77,NA
0,1,4,4,0.54
10,1,7,14,3.04
3,2,7,15,4.08
44,1,3,15,5
33,1,4,9,1.18
60,1,4,NA,0.74
20,1,2,77,NA
60,1,6,15,5
50,2,3,15,5
62,2,6,15,1.11
55,1,3,14,5
61,1,4,8,2.07
29,2,6,10,2.38
6,2,4,14,2.37
57,2,3,9,2.65
4,2,3,14,1.81
41,2,7,1,0.03
0,1,4,5,0.74
65,2,6,4,1.02
69,1,6,9,2.24
74,1,2,6,1.73
44,1,7,7,1.13
4,2,7,12,NA
37,1,2,7,2.28
25,1,3,14,4.68
24,1,1,8,1.7
57,2,4,10,5
71,1,1,8,2.73
8,2,1,4,0.61
65,1,3,6,1.69
0,1,2,6,1.14
0,2,7,7,1.21
80,1,3,12,NA
17,1,1,7,1.04
54,1,6,14,3.66
14,1,3,9,1.82
70,2,2,6,2.04
19,2,3,7,1.39
10,2,1,15,3.85
2,1,3,9,1.58
58,1,4,6,2.24
8,1,7,5,0.59
0,1,3,6,1.25
36,1,1,6,0.87
44,1,2,4,1.4
38,2,1,13,NA
79,1,3,9,2.79
73,2,3,8,3.91
19,2,3,5,0.96
22,1,4,2,0.24
25,1,6,10,1.32
9,2,4,9,2.31
33,2,3,14,5
2,1,4,10,1.18
0,1,1,5,0.86
10,2,1,14,4.45
68,1,4,14,3.87
80,2,3,6,1.54
52,2,1,6,2.47
30,2,7,10,3.18
66,1,4,15,2.9
33,1,3,8,2.24
13,1,6,14,2.15
24,2,3,14,2.55
63,1,4,1,0.15
80,2,4,15,5
32,2,3,3,1
4,2,1,14,2.86
0,2,3,14,3.92
48,2,6,8,2.45
71,2,3,6,1.65
39,2,4,8,4.12
33,2,4,5,0.8
4,1,3,7,1.51
72,2,6,4,1.15
1,1,3,15,5
25,1,4,10,3.23
36,1,2,13,NA
18,2,7,5,0.87
19,1,3,5,1.08
15,2,4,6,0.66
0,1,4,99,NA
39,2,4,5,0.81
62,2,2,9,3.09
6,2,3,4,0.6
57,1,3,10,3.43
10,1,3,10,1.67
7,2,3,6,0.79
80,2,3,6,2.07
39,2,3,NA,0.78
34,2,4,99,NA
76,2,3,15,5
72,1,3,7,2.59
23,1,2,4,0.41
80,2,4,13,NA
13,1,4,8,2.2
80,1,1,3,0.61
16,1,7,2,0.24
32,1,4,1,0.12
37,1,2,6,1.22
28,2,3,7,1.96
3,2,3,6,0.95
76,2,3,7,2.59
10,2,4,4,0.85
80,2,3,4,1.33
75,2,6,15,4.62
2,2,3,3,0.53
18,1,6,3,0.41
75,2,4,NA,NA
75,2,3,8,3.08
0,2,1,10,2.06
49,2,6,9,1.94
60,1,2,5,2.07
61,1,4,15,5
25,2,7,8,2.2
47,1,3,14,2.55
71,2,1,8,4.48
46,1,4,6,1.06
26,2,6,7,2.43
1,1,4,8,2.17
31,2,4,5,0.82
1,1,4,4,0.68
80,1,2,7,2.88
7,2,6,10,1.71
0,2,7,15,4.25
12,1,7,12,NA
60,1,3,7,1.65
32,1,1,9,2.39
78,2,4,7,1.68
53,1,3,9,2.47
28,2,2,6,0.73
15,1,4,6,0.89
41,1,3,14,3.06
1,1,3,6,1.2
30,1,1,7,1.36
4,2,3,4,0.6
58,2,3,77,NA
20,2,3,10,1.77
1,1,2,10,3.43
10,2,1,15,4.22
16,2,3,7,1.49
46,2,3,15,4.81
56,1,6,15,5
52,2,4,4,1.09
61,2,4,15,5
19,2,1,5,0.82
12,2,2,15,5
26,2,4,13,NA
77,1,3,15,5
31,1,7,8,4.31
1,1,6,15,5
18,2,6,4,0.93
0,2,4,13,NA
37,2,7,15,5
64,1,3,77,NA
42,2,2,99,NA
5,2,7,5,1
73,2,3,7,1.92
55,1,3,14,3.66
26,2,1,14,2.72
55,2,3,12,NA
58,2,4,14,3.92
37,2,4,3,0.91
64,2,3,3,0.91
6,1,1,5,0.45
31,2,7,8,1.7
13,2,4,NA,NA
74,2,7,15,5
5,1,4,7,1.73
0,2,7,6,1.54
44,2,4,3,0.77
29,1,4,4,1.05
38,2,2,5,0.68
4,2,1,7,1.29
64,2,3,6,1.17
19,2,4,6,0.99
6,1,6,10,2.85
63,1,1,7,2.19
10,1,3,6,0.76
4,2,7,15,5
3,1,3,14,3.05
45,1,7,2,0.4
11,2,7,15,5
62,1,4,7,2.65
60,2,4,4,1.32
41,2,6,15,4.08
15,2,6,7,2.46
52,2,4,7,2.16
28,1,4,7,1.63
7,1,1,2,0.2
69,2,4,12,NA
34,1,4,7,1.26
34,2,4,15,4.86
53,2,3,9,4.78
49,2,3,15,5
7,1,4,6,1.7
43,2,1,7,1.22
2,1,3,14,3.67
8,2,6,NA,NA
58,2,2,6,1.82
19,2,4,1,0.17
19,1,6,8,2.17
0,2,3,7,0.59
59,1,3,14,3.67
7,1,1,7,1.73
0,1,1,7,1.59
60,1,4,4,0.62
65,2,4,7,2.46
11,1,4,NA,NA
66,2,3,6,1.52
37,1,4,2,0.2
36,1,1,9,1.95
34,1,6,7,1.02
58,1,4,6,1.64
22,1,4,15,3.4
34,2,1,7,1.52
36,2,1,6,0.8
17,2,3,10,3.13
80,1,3,5,1.35
80,1,3,9,4.98
13,1,4,6,1.05
11,1,2,6,1.06
42,1,6,12,NA
55,2,3,1,0.09
10,2,4,13,NA
79,2,4,14,4.56
30,1,4,15,5
12,2,4,14,4.93
17,2,3,12,NA
18,1,6,NA,NA
19,2,7,10,0.37
67,2,4,12,1.81
4,1,4,7,1.06
80,1,3,6,1.75
17,2,7,8,1.65
2,1,1,NA,NA
56,2,6,9,3.69
72,2,3,77,NA
69,1,1,15,4.07
19,1,1,6,0.96
7,1,3,8,0.99
35,2,4,7,1.71
62,2,1,99,NA
41,1,1,15,5
24,2,3,7,2.13
5,2,1,5,0.59
16,1,3,4,0.79
8,1,3,15,5
80,2,2,6,2.07
45,2,2,1,0.1
43,2,3,NA,NA
16,1,4,14,0
60,2,1,3,0.57
27,2,3,15,4.04
48,1,3,5,1.15
80,2,3,9,3.4
14,2,4,6,1.05
62,2,1,77,NA
18,1,4,14,2.02
80,2,3,NA,NA
33,2,1,3,0.58
30,2,3,15,5
71,1,3,6,1.73
52,1,4,2,0.62
5,2,1,5,0.68
80,1,3,2,0.69
1,1,1,7,1.68
80,1,3,3,1.19
10,1,7,6,1.22
8,1,3,14,3.66
74,2,3,15,5
19,2,3,15,3.1
7,1,3,7,1.51
33,1,3,10,2.85
65,2,2,2,0.23
42,1,3,8,1.19
0,2,3,6,1.2
0,2,4,3,0.49
42,2,4,6,1.26
28,1,6,4,1.24
45,1,3,15,3.1
5,2,1,14,2.23
46,1,3,12,NA
4,2,3,15,5
77,2,3,7,2.88
15,2,3,7,1.68
2,1,3,7,1.96
5,2,4,6,1.14
6,2,7,15,5
42,1,4,8,3.08
57,2,3,14,5
38,1,3,15,4.25
24,1,1,12,NA
70,2,6,15,5
16,2,6,15,5
11,2,1,3,0.41
9,1,4,6,0.89
13,2,3,15,4.86
66,2,2,7,2.16
47,2,2,15,5
62,1,1,3,0.7
4,1,3,8,1.7
49,1,3,9,4.94
61,1,4,15,4.04
0,2,7,7,1.05
9,1,6,15,3.47
4,1,3,6,1.2
48,2,3,15,5
38,1,6,15,4.62
22,1,4,5,1.2
15,1,7,6,0.92
59,1,2,7,1.72
2,1,4,1,0.07
2,2,3,14,3.66
15,1,4,1,0.1
21,2,4,14,2.37
70,2,3,6,2.06
68,2,3,14,5
80,2,3,6,2.27
3,1,4,4,0.66
8,1,1,5,1.15
5,2,1,1,0.15
35,1,4,7,2.11
4,2,1,2,0.22
55,2,6,15,5
70,1,6,NA,NA
62,2,3,9,2.04
4,2,7,8,1.83
24,1,3,99,1.2
3,2,3,15,5
3,1,4,12,NA
38,2,6,15,3.47
45,2,6,9,2.89
67,1,3,6,2.47
65,2,4,10,4.31
57,2,3,4,1.27
74,2,3,8,3.19
7,2,3,10,2.64
61,2,3,10,4.19
3,2,3,15,4.39
7,2,3,7,1.18
9,2,7,6,1.67
8,2,4,9,1.62
18,1,6,12,NA
40,2,1,15,5
2,2,1,7,1.29
0,1,3,3,0.69
30,2,7,15,5
41,1,6,15,4.55
0,1,3,3,0.46
38,2,4,6,1.14
9,2,1,4,0.59
7,1,3,14,2.82
38,1,3,15,5
60,1,4,5,0.81
5,1,7,10,2.45
29,2,3,15,5
23,2,4,NA,NA
17,1,3,9,3.34
0,1,3,6,1.59
67,1,4,15,5
25,2,3,9,1.91
58,2,3,15,5
63,1,1,10,4.31
1,1,3,7,1.21
60,1,3,6,1.47
0,2,3,10,2.64
0,2,4,9,3.57
38,2,3,6,1.02
47,2,4,7,2.02
33,2,3,14,3.48
35,2,6,4,0.58
61,1,3,15,5
22,1,2,4,0.41
2,2,3,5,0.96
68,1,3,3,0.99
3,2,3,15,5
59,1,3,5,1.25
30,2,2,NA,NA
56,2,3,15,3.4
43,2,3,8,2.06
23,2,3,15,3.34
59,2,4,12,NA
10,1,2,6,0.87
10,1,1,15,2.63
16,1,4,6,1.26
17,2,4,6,1.14
10,2,3,14,2.55
80,2,4,4,1.27
62,2,7,15,5
43,2,6,14,3.73
80,1,3,10,4.43
41,1,3,15,5
6,1,3,14,2.82
35,1,4,6,1.44
64,2,3,7,2.17
1,1,3,4,0.95
56,2,4,77,NA
1,1,4,2,0.46
4,2,4,12,NA
76,2,3,5,1.73
6,2,1,7,1.49
3,2,3,7,1.42
56,2,1,7,2.27
22,1,4,4,0.61
30,1,2,8,1.7
11,1,3,5,0.91
18,2,3,6,1.15
80,2,3,3,0.99
56,1,3,NA,NA
46,2,3,15,5
17,2,4,5,0.54
3,2,6,15,4.81
37,1,4,9,2.31
62,2,1,99,NA
44,2,4,8,2.03
45,2,4,7,1.71
10,2,3,5,1.03
8,1,3,3,0.35
45,2,2,5,0.82
51,1,6,14,3.88
32,1,4,77,NA
4,2,3,5,0.81
57,1,3,5,1.48
46,2,6,6,2.49
3,2,4,10,1.18
10,2,3,14,4.02
13,2,3,9,1.82
43,1,4,6,1.14
19,1,3,4,0.95
34,2,4,99,NA
59,2,3,NA,NA
51,2,4,1,0
13,2,4,6,0.89
80,1,3,4,1.1
9,1,7,15,4.07
73,1,3,7,2.99
74,2,6,14,5
65,2,3,15,5
74,2,2,7,1.79
72,2,3,6,1.67
19,1,2,2,0.46
34,1,6,15,5
6,1,2,6,0.85
74,2,4,3,0.91
24,1,6,8,2.41
4,1,3,6,1.16
43,1,4,15,4.85
43,2,4,15,3.4
55,1,3,2,0.8
42,1,4,15,5
69,1,7,4,1.29
80,1,3,9,3.34
8,2,3,6,1.08
0,1,4,9,1.72
42,2,3,15,3.23
17,1,7,8,2.45
32,1,1,10,5
17,2,3,8,1.19
26,2,4,6,1.22
72,1,2,6,1.08
80,2,3,9,2.94
9,2,3,7,1.24
80,1,3,8,2.84
74,1,1,15,5
9,2,6,12,NA
16,2,3,14,4.65
28,2,6,9,1.5
4,1,3,4,0.91
55,1,6,8,3.08
24,2,3,9,2.79
19,1,1,6,0.96
53,2,6,15,5
8,2,4,1,0
0,1,4,7,1.06
12,1,3,8,0
66,1,6,9,2.94
40,1,1,9,1.91
0,2,3,6,0.85
27,2,1,15,5
0,1,1,12,NA
66,2,6,4,1.16
80,2,6,3,0.8
17,2,1,9,1.91
6,1,3,15,4.34
45,1,4,15,4.32
22,1,2,14,3.29
31,2,1,NA,NA
16,1,4,7,1.71
62,1,7,2,0.46
55,1,2,6,1.82
12,1,1,14,3.05
41,2,4,5,1.46
79,2,1,14,1.78
56,1,7,77,NA
68,1,4,2,0.57
46,1,6,15,4.58
62,2,6,15,2.39
11,2,1,15,5
1,1,4,8,1.21
18,2,3,1,0.12
1,2,6,NA,NA
76,1,1,12,NA
32,2,1,7,1.14
16,2,4,6,1.82
15,1,6,15,5
11,2,4,9,1.58
1,2,4,4,0.6
2,1,3,15,5
6,2,7,99,NA
66,2,4,NA,NA
9,2,4,6,1.2
2,1,4,6,1.29
80,2,3,10,4.25
0,2,3,8,1.13
64,2,3,6,2.65
71,2,3,14,4.93
15,2,1,8,1.7
62,2,3,15,5
59,2,3,2,0.74
71,2,3,12,NA
33,2,1,99,0.63
78,2,4,2,0.75
4,2,3,6,1.11
16,2,3,NA,NA
14,2,2,99,NA
12,2,1,4,0.4
3,2,3,14,2.58
36,1,3,15,5
0,1,2,6,1.2
4,1,4,4,0.52
80,2,4,5,1.17
32,2,2,14,2.65
0,2,7,10,2.38
46,1,3,10,1.75
8,2,6,10,2.12
33,1,1,4,0.49
2,1,2,6,1.15
52,2,3,12,NA
54,1,4,NA,NA
77,2,3,12,NA
35,2,2,4,1.57
44,2,3,4,0.78
14,2,3,6,1.27
33,2,4,7,1.26
56,2,4,8,1.79
53,2,6,15,5
51,1,2,6,0.83
16,1,2,9,2.89
11,2,4,2,0.28
11,1,1,1,0.01
55,1,3,15,5
59,1,2,15,4.31
2,1,3,12,NA
13,1,4,14,2.02
69,1,3,10,4.31
80,1,3,6,1.82
21,1,1,NA,NA
18,1,3,14,5
16,1,3,15,3.1
17,2,6,15,5
71,1,1,6,0.96
37,2,4,6,0.74
48,2,7,15,4.08
31,2,3,10,2.21
14,1,6,8,1.6
55,2,6,9,1.1
59,1,4,14,3.92
7,2,1,15,5
64,1,4,10,2.64
19,1,1,3,0.33
80,1,3,NA,NA
12,1,4,5,0.88
41,2,1,14,2.72
57,1,3,7,1.22
40,2,4,7,3.32
61,1,3,3,1.04
48,2,7,14,3.92
50,1,3,15,5
23,2,2,77,NA
50,2,4,5,0.6
4,2,4,10,2.06
74,2,3,6,2.48
32,2,4,8,1.74
