RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
2,2,6,15,5
2,1,3,15,5
66,2,4,3,0.82
18,1,6,NA,NA
13,1,7,10,1.88
66,2,6,6,1.63
75,2,4,2,0.41
0,2,3,15,4.9
56,1,6,15,5
18,1,1,4,0.76
67,1,3,6,2.65
54,2,4,7,1.86
71,1,7,8,1.56
61,1,6,15,5
22,1,3,NA,1.49
45,1,4,10,1.18
13,2,3,14,3.92
1,2,4,14,4.77
60,2,1,8,3.04
60,2,3,6,2.07
64,1,3,9,3.69
5,2,4,4,0.42
9,2,3,15,5
67,2,1,5,1.85
70,1,6,15,5
53,1,4,15,5
42,1,4,6,0.83
57,1,2,77,NA
20,1,1,15,5
72,1,3,3,1.13
11,2,3,9,1.58
13,1,3,10,3.33
52,1,2,2,0.35
11,1,1,12,NA
8,1,4,1,0.14
26,1,2,15,5
5,2,1,8,1.79
72,1,4,2,0.74
9,2,6,15,5
72,1,4,7,3.62
61,1,3,12,3.87
10,2,3,7,2.13
5,1,6,4,0.56
25,2,4,7,3.4
13,2,2,6,1.06
0,1,1,9,2.79
1,2,3,3,0.29
52,2,6,15,5
7,2,1,1,0.04
73,2,3,14,3.98
10,2,3,10,2.21
72,1,2,3,0.82
26,2,4,6,2.07
64,2,4,NA,NA
63,1,3,7,2.59
55,2,3,3,0.75
60,1,7,12,NA
54,2,1,NA,NA
44,1,6,6,1
74,2,1,3,1
40,1,3,14,3.25
1,2,3,6,1.67
19,1,3,14,2.01
36,2,2,3,0.52
61,1,2,5,1.18
80,1,3,8,3.04
6,1,7,15,5
55,1,2,2,0.8
3,1,6,9,1.32
55,2,4,2,0.7
69,1,3,2,0.39
41,2,3,14,3.67
47,2,6,12,3.73
32,2,4,10,1.18
72,2,4,7,3.32
19,2,4,15,5
10,2,7,15,3.03
46,2,7,6,1.22
32,1,2,5,1.65
25,2,4,14,4.65
21,2,2,3,0.41
2,2,3,4,0.62
80,2,3,10,5
0,1,4,3,0.52
13,2,7,2,0.24
66,2,3,15,5
34,2,3,14,5
5,2,7,15,5
20,1,7,9,2.94
31,2,2,1,0
12,1,1,13,NA
62,2,6,15,4.81
64,1,4,10,2.43
71,1,3,4,1.44
52,2,3,14,4.93
61,2,4,NA,NA
41,1,4,14,4.62
80,2,3,6,2.8
59,1,2,15,5
2,2,3,2,0.47
12,1,4,8,1.52
1,1,3,5,0.8
64,2,3,12,5
44,1,6,8,1.35
13,2,1,15,4.66
14,1,3,15,3.1
1,1,7,15,4.47
13,1,4,NA,NA
24,1,6,9,2.94
67,1,3,14,5
42,2,1,7,1.11
41,2,4,15,5
32,2,7,4,1.12
80,2,2,1,0
55,1,6,15,5
14,1,1,14,3.88
63,2,4,6,0.9
11,2,4,8,1.7
16,2,6,7,0.79
6,2,1,7,1.52
58,2,2,13,NA
52,2,2,NA,NA
74,1,3,6,1.82
74,2,3,7,2.33
68,2,6,NA,NA
2,2,3,6,1.47
38,2,4,15,5
67,1,4,14,5
61,1,2,6,2.08
63,1,6,15,5
6,1,3,14,3.59
48,2,3,2,0.28
27,1,4,NA,NA
13,2,1,10,2.85
35,2,3,5,1.03
5,1,1,NA,NA
50,2,3,NA,NA
47,1,6,15,5
48,2,7,15,5
2,1,4,4,1.17
42,2,2,15,5
6,1,3,1,0.14
28,2,3,14,1.93
29,2,4,4,0.87
43,2,1,1,0.1
62,1,4,4,1.08
40,2,3,15,5
74,2,4,15,4.86
74,2,3,14,5
45,2,7,10,2.9
50,1,1,4,0.4
0,1,3,14,3.67
71,1,3,8,4.12
66,1,4,9,2.39
3,2,3,8,2.06
19,2,7,2,0.33
73,1,4,15,5
39,2,1,NA,NA
76,1,3,9,3.8
2,1,1,14,1.69
50,1,6,77,NA
12,2,2,1,0.05
0,1,3,15,3.47
26,1,3,12,NA
2,2,1,15,2.63
68,1,4,77,NA
80,1,3,12,1.49
20,2,3,15,3.79
55,2,1,3,0.67
1,1,1,NA,NA
16,2,1,3,0.33
8,2,1,13,NA
37,1,4,2,0.58
10,1,1,4,0.69
64,1,3,8,2.6
59,2,4,2,0.79
7,2,3,2,0.28
5,2,3,8,1.8
8,2,1,5,0.74
26,1,6,99,NA
