RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
64,1,6,15,5
48,2,7,6,1.4
77,1,4,10,4.45
34,2,6,15,5
64,1,6,NA,NA
13,1,1,15,5
9,2,3,8,1.29
29,1,3,9,3.03
2,2,4,8,2.92
68,1,3,9,2.53
77,2,3,5,1.89
13,1,1,5,0.58
53,1,1,3,1.2
42,1,6,7,1.25
12,2,3,7,2.2
70,2,3,4,1.65
24,2,4,7,1.43
34,1,3,7,1.13
65,2,3,3,1.03
16,2,3,15,5
30,1,3,5,0.67
48,2,1,15,5
40,2,1,8,1.63
13,1,3,14,3.48
1,2,1,14,2.69
38,2,3,2,0.28
0,1,2,14,3.09
23,1,1,7,1.33
52,1,4,4,1.14
38,1,4,9,3.81
53,1,4,6,2.18
77,1,3,15,5
61,2,3,6,1.28
26,1,6,8,4.26
62,2,3,5,1.21
48,1,3,6,1.04
47,2,2,15,4.67
80,2,3,15,5
32,1,7,5,1.21
7,1,4,3,0.64
38,1,3,15,5
28,2,3,9,2.31
63,2,6,77,NA
80,1,6,7,2.26
2,2,3,10,3.28
43,1,2,8,1.65
0,2,3,15,5
0,2,4,7,1.27
45,2,4,7,2.58
58,2,3,7,2.03
50,2,3,10,2.13
38,1,2,7,0.86
25,2,3,3,0.21
67,1,1,2,0.19
43,1,1,14,3.82
6,1,3,7,1.07
64,2,2,15,5
16,1,3,7,2.2
56,1,3,15,5
15,1,2,4,0.92
16,1,4,2,0.3
12,1,4,9,2.68
15,1,6,15,5
17,1,4,99,NA
6,1,4,6,0.78
5,1,1,6,1.07
19,2,1,12,NA
11,2,4,3,0.56
9,1,3,12,NA
57,1,4,15,5
66,1,3,15,5
54,1,3,15,5
28,2,6,15,5
4,2,7,5,0.77
17,1,1,4,0.54
12,1,1,5,0.63
34,2,1,3,0.44
8,2,3,3,0.61
67,1,3,8,3.22
0,1,4,9,2.98
51,1,6,15,5
3,1,3,6,1
0,1,2,4,0.92
26,1,4,12,0.34
52,2,7,12,NA
14,2,3,5,0.87
27,1,3,4,0.97
8,1,3,6,0
32,1,4,6,0.76
61,1,4,1,0
18,1,1,7,1.83
80,2,3,3,1.06
75,2,3,5,1.37
4,1,1,10,2.22
39,2,3,77,NA
60,1,2,3,0.83
64,1,1,10,3.33
3,2,1,7,1.58
23,1,4,12,5
3,2,1,5,1.27
70,2,4,15,5
37,2,1,5,0.56
30,1,3,3,0.51
10,2,7,4,0.59
31,1,4,8,1.42
63,1,2,77,NA
3,2,3,15,5
41,2,1,5,0.89
53,2,3,15,5
6,2,7,1,0.13
7,1,1,77,NA
28,1,4,8,2.3
5,1,4,NA,NA
19,1,2,9,1.97
0,1,4,12,NA
66,1,3,5,1.74
2,1,1,5,0.93
1,1,1,5,0.74
4,2,4,6,1.28
48,1,1,5,0.73
3,1,3,6,1.13
14,1,2,9,2.78
42,1,1,1,0.17
13,2,4,12,NA
45,2,3,15,4.25
31,2,4,15,5
4,1,7,9,2.04
26,2,6,15,4.04
16,2,4,9,3.09
5,1,4,9,1.37
11,2,3,15,5
7,1,4,6,1.16
49,1,4,9,1.37
16,1,6,14,3.14
45,1,4,9,5
0,1,3,6,1.15
7,1,1,5,0.7
9,1,6,15,5
15,1,4,15,4.19
0,1,3,7,1.43
10,1,2,4,0.54
15,2,4,14,2.37
2,2,1,6,1.52
75,2,4,8,4.11
34,1,1,14,3.45
64,2,3,4,1.02
11,2,7,14,0
30,1,6,15,5
10,2,6,15,5
61,2,3,15,5
43,1,2,12,NA
36,2,6,7,1.43
13,1,4,2,0.35
18,2,4,1,0.13
5,1,3,7,2.42
43,2,2,9,2.78
7,2,4,6,1.18
56,1,1,4,1.03
4,1,3,15,5
0,1,3,6,0.05
50,2,6,15,5
8,2,1,4,0.64
20,1,3,99,1.04
57,1,3,3,0.64
36,1,7,10,2.15
40,2,6,9,3.07
17,2,3,6,1.54
17,1,1,14,2.9
32,2,4,7,1.68
66,1,3,15,5
14,1,3,7,0.93
48,1,4,5,0.86
63,1,4,14,4.04
68,2,4,4,0.77
31,2,4,9,2.15
23,1,3,3,1.2
34,2,4,6,1.61
71,2,3,7,2.58
49,2,3,8,3.18
6,2,3,15,5
40,1,3,8,1.61
55,1,4,15,5
68,2,1,7,1.27
56,2,3,15,5
60,1,1,99,NA
2,2,3,5,1.23
49,1,6,14,3.4
18,2,6,15,3.05
22,1,4,2,0.26
17,2,1,1,0.1
4,2,3,15,5
16,1,1,6,1.06
66,2,1,3,0.35
19,1,3,9,3.87
3,1,7,1,0.06
45,1,3,8,1.63
11,1,2,77,NA
42,1,4,10,2.19
57,2,4,6,1.05
22,1,4,7,3
0,1,3,4,0.65
19,2,4,8,2.29
47,2,3,15,4.25
80,1,3,10,5
0,2,1,14,2.69
3,2,4,3,0.51
43,1,4,12,NA
20,1,1,5,0.89
54,2,4,1,0.13
10,2,4,6,0.69
4,1,2,4,0.57
60,1,1,NA,NA
41,2,6,5,0.86
14,2,1,2,0.29
73,1,3,3,0.86
38,1,1,8,2.86
41,2,3,15,5
40,2,1,5,0.67
80,1,3,6,1.78
62,2,4,7,2.29
44,2,3,6,1.27
20,2,6,15,5
19,2,4,1,0.1
10,2,4,7,1.45
40,2,3,10,3.28
57,1,1,8,2.69
38,1,2,5,0.56
63,2,4,6,2.19
60,2,4,6,1.15
57,1,3,15,5
8,2,3,14,3.48
12,2,4,5,0.75
67,2,6,4,0.81
49,1,6,15,5
17,1,6,4,0.83
71,2,3,8,3.92
