RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
69,1,4,3,0.97
13,2,4,2,0.31
18,2,1,14,2.76
45,2,1,14,2.18
8,2,1,2,0.17
13,1,3,15,4.32
0,2,1,8,0.75
13,1,7,15,4.12
1,1,3,14,4.46
80,1,3,8,2.82
27,1,1,7,1.41
44,2,4,9,1.5
41,2,4,NA,NA
18,1,3,15,5
10,1,3,7,1.65
71,1,2,6,1.34
13,1,3,15,5
37,2,3,8,1.86
0,2,3,15,5
49,2,3,15,5
46,2,1,9,2.39
12,2,3,7,1.65
30,1,3,8,1.9
31,2,3,15,5
0,1,1,99,NA
2,1,3,3,0.34
41,1,4,15,5
80,1,3,8,4.21
19,2,2,99,NA
35,1,1,14,2.64
4,1,4,1,0.19
21,2,3,8,2.14
40,1,4,14,4.36
13,1,7,7,1.65
11,2,1,15,4.54
67,2,3,4,1.35
48,1,1,9,2.24
30,2,1,6,0.87
63,1,1,99,NA
4,1,3,15,4.68
54,1,1,5,1.14
42,2,4,10,1.82
71,2,3,2,0.81
13,2,6,14,3.55
10,1,4,13,NA
14,2,3,15,3.87
79,2,3,3,0.43
32,2,3,8,2.06
4,2,3,4,0.97
80,2,1,2,0.68
61,1,1,4,0.62
38,2,6,14,3.62
74,1,3,6,2
51,2,4,99,NA
3,1,3,10,1.85
26,1,3,14,4.25
18,2,6,6,0.95
54,2,3,9,5
2,2,7,4,0.62
68,2,1,4,1.12
60,1,4,8,1.23
80,2,3,4,0.77
9,2,2,5,0.77
29,2,3,7,1.68
55,1,3,8,2.68
27,1,3,6,1.57
52,2,3,3,0.85
10,2,4,4,0.66
49,1,3,15,5
47,2,4,7,2.08
80,2,4,3,0.75
9,1,2,9,1.47
11,2,7,1,0.01
22,1,6,NA,0.42
51,1,4,6,1.43
49,2,3,77,NA
37,1,3,10,4.37
43,2,4,14,3.3
1,1,1,7,1.23
43,1,6,7,1.44
23,2,2,7,2.32
71,1,1,6,1.69
8,2,4,14,2.92
17,2,3,5,0.82
15,1,4,14,2.45
19,1,1,6,1.64
68,2,1,3,0.35
10,2,4,14,2.46
1,1,3,4,0.66
1,2,3,8,1.86
48,2,3,7,2.5
74,2,2,8,3.82
66,1,3,9,3.43
66,2,6,10,4.06
62,2,1,NA,NA
10,2,4,2,0.24
17,1,3,5,1.1
37,1,2,7,2.08
80,2,3,8,3.14
31,2,3,7,1.32
27,2,4,3,0.86
44,2,6,8,1.86
12,1,3,15,5
75,2,6,8,1.76
45,1,6,14,3.55
0,2,3,14,2.99
16,1,2,2,0.28
71,1,2,NA,NA
0,1,3,15,5
17,2,1,4,0.49
75,1,4,4,0.74
9,2,1,10,2.46
43,1,3,15,5
33,2,3,10,2.67
13,2,1,6,0.8
78,2,3,6,2.38
55,1,3,2,0.61
24,1,4,9,2.98
14,2,1,7,1.23
46,2,1,15,5
53,1,3,14,5
47,1,4,14,4.48
0,2,3,15,4.12
0,2,1,3,0.49
47,2,4,6,0.25
22,2,3,4,0.8
12,1,3,15,3.52
44,2,3,14,3.7
28,2,4,7,1.65
44,2,4,6,1.51
72,2,6,10,4.06
49,1,1,3,1.24
27,1,1,4,0.57
40,1,7,15,5
11,1,3,77,NA
21,2,3,6,2.01
9,1,6,4,0.95
26,2,3,9,2.27
10,2,1,8,2.06
63,1,3,15,5
2,2,7,7,1.17
65,2,2,14,4.11
80,1,3,5,2.02
80,2,3,7,2.5
8,2,4,3,0.6
15,1,1,15,4.44
10,2,3,15,3.52
15,1,4,10,2.67
25,1,3,15,3.07
71,2,2,8,2.82
6,2,1,15,5
55,1,3,15,5
40,1,3,7,1.11
68,1,1,3,0.35
21,1,1,8,1.76
37,2,4,1,0.16
79,2,1,3,0.65
14,2,7,6,1.44
68,1,6,15,5
41,2,4,6,2.1
60,2,3,15,5
43,1,4,15,5
60,2,4,77,NA
13,1,4,9,1.87
31,2,3,7,3.57
71,1,6,3,0.75
2,1,4,1,0.02
54,2,2,9,4.89
48,1,3,15,5
1,2,1,99,NA
14,2,1,10,2.68
26,1,4,8,1.85
45,2,4,4,0.87
27,2,7,10,3.42
62,2,6,7,2.26
9,2,4,15,4.22
68,2,3,8,3.26
32,1,3,7,1.43
24,1,1,10,2.39
14,1,3,9,1.42
53,1,6,15,5
73,1,1,NA,NA
41,2,1,15,5
7,2,2,NA,NA
27,1,3,14,5
54,1,4,15,3.55
2,1,3,15,4.96
29,2,7,8,1.47
60,2,1,9,2.88
19,2,3,NA,NA
4,1,3,15,4.12
18,2,3,8,1.23
44,1,7,2,0.35
2,1,6,1,0
61,2,3,15,5
28,2,1,NA,NA
46,1,1,77,NA
2,2,7,NA,NA
51,1,1,77,NA
41,2,7,9,3.11
25,2,4,7,1.55
10,1,2,1,0.12
36,1,3,14,3.37
66,1,3,15,5
23,2,3,7,2.36
36,1,3,7,1.48
62,1,6,9,2.58
71,2,3,15,5
75,1,3,6,1.97
0,2,1,4,0.65
58,2,2,8,1.76
10,2,3,9,1.22
45,2,3,15,5
72,2,6,15,5
0,1,4,15,5
11,1,1,NA,NA
79,2,3,12,NA
55,2,1,9,2.74
8,1,4,15,5
1,2,4,6,0.68
17,1,1,7,1.55
64,2,6,9,3.77
14,2,6,10,2.97
3,1,4,7,1.55
21,2,3,9,2.2
4,2,4,4,0.39
0,2,1,5,0.77
50,2,3,9,3.64
45,2,1,3,0.31
14,1,3,5,0.74
0,2,2,8,1.76
48,2,3,6,2.12
14,2,3,15,5
0,2,3,7,1.2
59,1,4,9,5
61,2,4,77,NA
40,1,3,12,4.08
72,2,6,9,2.59
27,2,2,9,2.74
39,2,2,10,1.42
26,2,2,12,NA
62,1,3,4,1.41
20,1,1,7,0.84
46,2,2,14,4.78
9,2,4,3,0.65
10,2,4,8,2.23
2,1,2,3,0.31
0,2,4,14,2.94
24,2,6,14,0
5,1,7,7,1.65
4,1,4,2,0.4
7,2,4,13,0.3
45,1,3,15,5
36,1,6,15,5
45,2,3,15,4.6
53,1,3,7,2.95
26,2,3,10,1.51
60,2,4,15,5
58,2,6,6,1.24
16,2,2,14,3.3
73,2,3,15,5
61,2,4,14,5
9,2,4,6,0.92
7,2,2,14,3.72
26,1,4,7,0.95
74,1,1,7,1.79
13,1,2,3,0.46
80,1,3,9,3.75
13,2,4,6,1.09
33,1,3,2,0.72
1,2,4,5,0.74
28,1,3,6,1.32
57,1,6,15,5
60,2,1,12,NA
63,1,3,3,1.07
66,1,3,15,5
28,1,1,7,0.81
58,1,2,NA,NA
46,1,6,5,1.19
7,1,1,7,1.23
59,1,3,6,2.12
80,1,6,77,NA
1,2,1,15,5
11,1,4,14,4.02
72,2,2,99,NA
52,1,6,NA,NA
67,1,2,6,1.2
18,1,1,10,1.42
54,1,2,12,2.12
8,1,7,15,5
1,2,4,1,0.07
72,2,3,9,3.87
38,1,3,6,0.69
12,2,1,10,1.42
46,2,1,2,0.59
80,1,6,3,0.81
26,2,3,10,4.49
4,1,7,6,1.03
3,2,1,10,2.15
5,1,1,8,2.29
13,1,3,15,3.07
0,1,3,7,1.99
8,1,3,6,0.99
28,2,6,8,2.1
1,2,3,14,3.09
78,2,2,3,1.19
21,2,4,1,0.29
10,2,2,10,2.59
24,1,3,15,5
35,2,7,9,0.32
8,1,4,7,1.98
2,2,2,15,4.98
4,1,3,6,0.88
78,1,1,5,0.56
1,2,3,15,3.33
9,1,3,9,2.47
3,1,6,1,0
53,2,3,15,5
46,2,2,4,0.9
6,1,1,7,1.06
10,1,4,3,0.65
14,2,1,77,NA
29,2,4,3,0.35
45,1,3,13,NA
5,1,4,10,2.89
4,1,4,2,0.42
45,2,4,15,5
1,2,4,5,0.63
1,2,1,9,2.11
3,2,1,7,0.02
7,2,4,15,4.23
57,1,1,10,1.96
67,2,3,14,4.99
46,1,6,14,3.16
61,1,6,5,1.09
43,1,7,8,2.23
46,1,1,8,2.61
30,2,3,15,5
20,1,4,6,0
52,1,1,9,2.99
54,2,2,8,2.81
4,2,1,15,5
7,2,3,14,2.82
77,1,1,3,0.88
80,1,3,14,2.39
7,2,7,15,5
33,1,2,1,0.2
35,1,4,1,0.04
41,2,6,10,2.67
80,2,2,7,1.23
58,1,7,77,NA
37,1,4,7,1.44
45,1,1,15,4.98
25,2,3,15,3.33
61,2,2,2,0.39
62,2,4,10,3.47
6,1,1,6,0.61
12,2,4,7,1.77
27,2,2,8,1.58
0,2,2,15,4.98
58,2,3,14,4.99
45,1,4,5,1.85
32,1,6,14,1.72
59,1,3,15,5
12,1,2,9,1.47
2,1,4,5,0.33
24,2,3,9,2.55
78,1,3,4,0.98
19,1,4,15,5
21,1,4,6,1.51
10,1,7,NA,NA
51,1,4,8,1.38
16,1,6,15,5
5,2,6,NA,NA
67,2,1,2,0.82
4,2,3,4,0.74
13,2,6,14,1.03
18,1,7,15,5
67,2,2,3,0.04
9,2,3,14,2.82
4,2,4,10,2.46
14,2,4,5,1.34
65,1,3,12,NA
59,2,4,9,2.88
56,1,3,15,5
31,1,3,7,1.81
36,1,4,15,5
16,2,3,8,1.83
44,1,2,8,3.12
1,1,3,15,5
56,2,2,12,NA
60,1,3,5,1.14
64,1,4,5,1.19
36,1,3,77,NA
38,1,2,12,2.38
43,2,4,3,0.75
28,2,2,14,2.3
75,2,7,6,2.69
61,1,4,8,1.93
17,1,3,7,1.48
40,2,4,13,NA
47,2,4,5,1.44
75,1,7,2,0.78
3,1,3,1,0.07
25,2,4,4,1.07
74,1,3,14,5
0,2,4,12,1.75
50,1,3,NA,NA
42,2,6,15,3.87
16,2,6,7,1.23
0,2,1,8,1.86
43,2,3,15,2.51
57,2,4,7,3.48
16,2,3,15,4.12
29,2,4,1,0.35
0,1,3,4,0.53
0,1,1,8,2.23
20,1,4,6,2.15
10,1,4,5,0.85
14,2,2,2,0.28
10,2,7,10,2.67
1,1,4,3,0.56
63,1,3,8,2.14
0,1,7,4,0.62
7,2,7,7,1.17
5,1,7,1,0.05
60,1,6,6,1.26
2,1,3,4,0.62
0,2,1,10,3.12
7,1,1,6,1.05
61,1,4,7,1.65
76,1,1,4,0.49
0,2,1,4,0.44
58,1,3,NA,NA
2,2,2,10,2.39
26,1,7,4,1.22
12,1,3,2,0.25
67,1,3,7,1.84
11,1,3,15,5
63,1,6,6,1.49
11,1,3,14,2.18
1,1,3,10,2.46
26,2,4,5,1.02
28,2,1,4,0.46
14,2,2,6,1.36
56,2,4,4,1.15
77,1,3,7,2.51
12,1,6,8,1.76
18,2,1,14,3.98
9,2,3,14,3.23
70,2,7,6,2.16
44,2,7,2,0.54
13,2,1,5,1
34,1,3,8,1.23
10,2,3,14,2.55
4,1,3,8,2.02
30,1,1,8,1.69
36,2,4,6,1.05
54,2,6,12,NA
41,1,3,15,5
23,1,3,6,1.59
58,2,7,3,1.18
7,2,2,6,1.04
12,1,4,13,NA
36,2,6,15,5
51,1,3,14,4.68
25,2,1,99,NA
72,1,7,6,1.81
74,1,3,9,3.43
68,2,2,10,4.39
8,1,2,7,1.41
36,2,1,2,0.36
0,2,1,1,0.08
8,1,1,4,0.38
41,2,3,15,5
66,1,4,NA,NA
15,1,1,8,1.22
47,2,2,3,0.82
0,1,4,13,NA
9,2,3,77,NA
14,1,4,5,0.7
60,1,2,15,5
45,2,3,14,3.27
11,2,2,8,2.48
39,1,4,1,0.08
57,2,3,12,NA
2,1,3,10,2
62,2,1,8,2.24
40,1,4,99,NA
21,2,4,15,3.52
59,1,3,4,0.94
17,2,3,10,2.76
13,1,3,15,3.52
63,1,4,9,2.47
16,1,4,77,NA
38,1,2,NA,NA
14,2,1,7,1.65
14,1,3,3,0.82
62,2,4,2,0.6
0,1,1,6,1.04
2,2,3,14,3.73
6,1,3,12,NA
80,2,3,6,2.1
7,1,7,4,0.53
50,2,7,14,4.68
3,2,4,8,1.38
16,2,2,10,3
7,1,6,14,1.03
9,2,4,6,0.93
3,1,1,6,1.07
2,1,3,8,2.48
2,1,4,2,0.25
3,2,1,15,5
28,2,3,6,2.78
2,1,3,7,1.74
39,2,3,8,2.24
4,1,3,9,2.26
6,2,3,15,4.63
0,2,1,8,1.69
54,1,6,7,1.23
80,1,3,5,1.26
0,2,2,1,0.02
8,1,1,6,0.92
25,1,1,9,3.77
2,2,2,14,4.33
72,2,3,12,NA
55,1,4,15,5
31,2,3,15,5
1,2,4,5,0.84
36,2,1,9,2.64
27,1,1,13,NA
0,1,1,2,0.31
48,2,1,NA,NA
0,1,4,15,5
42,1,4,7,2.08
31,2,6,NA,NA
6,2,1,10,1.96
15,1,3,7,1.23
70,2,3,4,1.58
0,2,1,14,3.72
74,2,4,7,1.79
60,1,1,4,0.41
55,1,1,6,2.55
70,1,4,99,NA
45,2,4,8,1.1
35,1,1,10,2.88
35,1,3,3,0.38
80,1,4,6,1.87
16,1,2,5,0.61
32,2,7,15,5
34,1,6,14,3.7
18,1,3,7,1.44
0,2,3,15,5
4,1,3,5,0.99
65,1,2,7,2.51
66,2,3,15,5
33,1,2,6,0.94
18,1,3,14,4.58
53,2,6,77,NA
35,1,2,15,5
45,2,2,7,1.23
25,2,3,6,1.24
38,2,1,7,1.65
2,1,3,6,1.31
38,1,3,6,2.61
17,2,3,15,5
60,2,1,3,0.7
19,2,4,99,NA
27,2,2,5,0.08
61,1,3,15,5
31,1,3,10,2.88
33,1,6,1,0
9,1,2,12,NA
5,2,3,9,1.22
4,2,2,7,2.5
47,2,3,6,1.03
28,2,2,5,0.59
23,1,3,NA,NA
25,2,1,4,0.97
41,1,6,15,5
16,1,3,10,2.29
2,2,2,15,3.53
8,1,4,15,4.12
18,2,6,15,4.22
75,1,1,4,1.13
35,2,1,8,2.06
27,1,4,8,1.67
12,1,2,5,1.51
6,1,2,7,0.81
59,1,3,2,0.49
69,1,3,6,2.12
51,2,7,2,0.76
51,1,6,15,4.12
64,1,4,10,3.47
3,1,3,12,NA
45,2,4,77,NA
9,1,6,14,2
46,1,1,9,2.64
9,1,2,14,3.72
18,1,4,8,1.98
31,1,3,77,NA
80,2,3,6,2.53
16,1,1,9,2.31
48,2,4,12,NA
9,2,3,15,5
10,2,1,6,0.99
30,2,7,10,1.7
51,2,4,12,NA
34,2,3,NA,NA
64,1,7,6,1.82
36,2,2,15,3.99
9,1,4,8,1.1
14,1,4,6,1.69
77,1,3,15,5
26,2,6,15,5
3,1,3,14,3.41
18,2,1,5,0.99
51,1,1,15,4.42
56,2,3,4,1.46
26,1,1,8,1.96
60,2,4,6,0.77
66,2,2,3,0.96
42,2,6,8,1.76
19,2,3,6,2.63
0,1,4,4,0.97
31,2,6,14,3.22
14,1,1,12,NA
15,2,1,15,3.99
35,2,1,2,0.18
59,1,6,15,5
69,1,4,7,3.54
7,2,3,7,1.23
19,2,1,2,0.08
28,1,6,NA,NA
15,1,4,8,2.14
62,2,4,14,3.97
23,1,6,2,0.68
74,2,2,15,5
2,1,3,4,0.68
22,2,3,8,2.27
3,1,4,5,0.84
25,1,3,6,1.49
16,2,3,8,1.23
16,1,3,8,2.06
6,1,4,9,2.37
55,2,6,8,3.06
79,2,7,6,1.87
72,1,1,4,0.98
58,2,4,10,5
4,1,2,8,1.85
6,2,2,4,0.75
24,2,4,4,0.65
0,2,1,14,3.2
24,2,3,9,2.2
54,1,3,5,1.7
0,2,3,12,NA
28,2,1,15,4.57
6,2,4,77,NA
37,1,4,9,2.03
44,2,4,2,0.68
22,2,2,6,1.24
53,2,3,6,1.57
51,1,1,3,0
2,2,2,6,1.16
57,2,3,15,5
56,1,6,7,1.41
54,2,3,15,5
7,2,1,4,0.68
56,1,6,14,2.76
55,1,7,15,5
0,2,1,4,0.58
23,2,3,8,1.57
0,2,4,2,0.29
1,2,2,3,0.49
2,1,6,15,5
13,2,4,1,0.15
11,1,6,NA,NA
78,2,3,14,5
9,1,4,1,0.04
65,2,2,9,5
41,1,1,6,0.61
10,2,1,5,0.75
0,2,1,15,3.07
80,2,3,14,4.77
11,1,2,6,0.94
2,2,1,10,2.67
1,1,3,15,5
1,2,3,10,2.88
19,2,2,NA,NA
0,1,3,8,2.48
16,2,3,9,2.35
44,1,2,NA,NA
1,2,2,1,0.11
1,2,3,15,5
5,2,4,15,2.72
60,2,1,8,4.21
80,1,3,4,1.44
2,1,7,5,0.99
23,2,1,6,1.49
11,2,1,8,1.65
62,2,1,8,1.47
21,2,3,10,2.89
31,1,1,6,2.46
34,1,6,4,0.94
2,1,4,3,0.35
25,2,3,13,NA
18,2,4,6,2.01
6,2,2,9,3.14
31,2,1,6,1.05
56,1,1,7,2.7
2,1,2,13,NA
47,1,3,7,3.57
61,2,1,6,1.54
37,2,2,12,1.09
54,2,4,9,2.78
7,2,7,15,4.16
29,1,3,7,1.29
73,1,1,4,1.13
37,2,4,1,0.07
8,1,3,77,NA
2,1,3,15,5
56,2,1,9,1.7
68,1,1,12,NA
8,1,6,8,1.38
27,1,6,15,5
10,1,4,5,0.49
0,2,2,6,1.4
55,2,3,15,5
60,2,2,1,0
9,1,1,8,1.22
74,1,2,1,0.07
25,2,6,12,3.2
71,2,4,2,0.68
65,1,3,4,0.53
72,1,3,14,5
55,2,1,15,5
11,2,1,7,1.51
0,2,4,14,3.16
0,2,1,4,0.8
16,1,1,14,3.72
9,2,3,15,4.63
61,1,4,12,NA
46,2,4,13,NA
0,2,1,15,5
4,2,1,12,NA
27,2,6,15,5
18,1,6,NA,NA
32,2,2,8,2.02
66,1,4,NA,NA
56,2,4,3,0.6
62,2,2,NA,NA
23,1,3,15,5
23,1,1,9,2.27
22,2,1,5,0.77
35,1,4,7,1.46
12,1,1,7,1.65
1,2,4,9,1.22
7,2,4,7,1.65
58,1,7,5,1.34
40,1,3,9,3.11
67,2,3,15,5
80,1,3,9,5
26,1,2,6,1.49
63,2,6,5,1.09
7,2,2,15,3.93
4,1,2,6,1.06
30,1,3,8,3.14
7,2,4,7,1.44
63,2,3,9,3.75
3,2,4,7,1.65
9,2,1,1,0
14,2,1,9,2.99
63,1,3,4,0.76
40,2,1,99,NA
70,1,2,15,5
62,1,3,15,5
54,1,3,15,5
59,2,1,4,0.64
48,1,6,99,NA
8,1,6,15,4.12
80,1,3,6,1.76
54,1,4,14,2.61
2,2,1,5,0.54
42,2,3,8,3.14
23,2,1,10,2.85
41,2,6,8,1.67
21,2,6,10,1.55
6,2,1,5,0.95
80,1,4,7,2.18
53,1,4,3,0.9
8,1,1,6,0.98
40,2,6,12,4.63
43,1,2,14,5
80,1,1,3,0.63
32,2,1,9,1.74
80,2,3,6,1.88
8,1,3,14,3.72
57,1,4,3,1.19
39,2,6,12,NA
10,2,3,8,1.8
10,1,3,7,1.32
14,1,7,8,1.54
4,2,2,NA,NA
71,2,4,14,5
2,2,3,15,5
30,2,2,3,0.51
80,2,3,14,5
28,2,4,1,0.15
54,2,3,3,1.02
13,1,4,8,1.23
80,2,3,7,2.76
68,1,2,NA,NA
50,2,3,3,1.01
0,1,3,3,0.46
4,1,3,10,3.67
80,1,3,14,5
30,2,4,15,5
12,2,4,5,1.01
59,1,4,15,5
7,2,2,14,4.58
8,2,1,14,2.64
4,1,4,2,0.24
7,2,3,9,1.22
35,1,1,4,0.89
22,2,4,7,1.65
47,2,4,3,0.52
40,1,4,15,4.23
41,1,2,6,1.27
63,2,4,1,0.16
18,1,1,15,4.93
5,1,7,2,0.39
73,2,3,15,5
15,1,3,14,3.66
11,2,4,3,0.56
56,2,4,8,1.76
3,2,3,10,2.88
2,1,3,15,5
25,2,3,8,2.81
39,2,4,4,1.53
29,1,2,NA,NA
0,2,7,1,0.14
33,1,6,15,5
70,1,3,4,0.58
43,2,4,14,2.79
15,2,4,99,NA
68,2,4,13,NA
60,1,1,9,3.75
5,2,1,7,1.41
6,1,7,15,4.33
73,2,2,12,NA
6,2,7,15,5
27,2,3,8,1.76
23,1,1,99,NA
10,2,1,15,3.52
18,2,4,1,0.07
47,2,6,15,5
9,1,6,14,3.55
80,2,2,3,1.26
5,2,4,5,0.74
4,2,4,15,5
58,1,3,15,5
80,1,1,3,0.93
61,1,2,15,3.07
1,2,4,5,0.63
22,2,7,7,1.7
5,1,4,6,1.24
48,2,4,7,0.95
4,2,6,15,4.96
47,1,2,10,3.48
75,1,6,5,1.25
55,2,3,8,2.23
75,1,4,5,1.02
51,2,4,15,5
22,2,3,15,5
14,2,3,14,3.73
18,1,4,6,1.56
71,2,2,5,1.83
41,1,6,14,5
34,1,4,2,0.31
2,2,3,9,0.78
4,2,3,4,0.74
60,1,3,4,1.27
44,2,3,7,1.07
50,1,4,1,0
1,1,3,4,0.75
19,1,4,7,2.56
57,2,1,5,0.75
12,1,4,10,2.29
14,1,3,14,2.55
47,1,6,15,5
15,1,1,77,NA
12,2,1,9,1.74
33,1,6,15,5
80,1,3,1,0.03
2,1,3,8,1.83
9,2,3,14,2.64
2,2,2,15,5
12,1,4,13,NA
80,1,3,7,1.79
10,2,2,6,1.24
36,2,3,7,0.44
59,1,3,5,1.87
54,2,4,6,0.94
9,1,6,14,2.99
45,1,3,14,3.7
15,1,2,13,NA
10,1,3,15,5
63,2,4,3,1.09
80,2,3,4,1.43
2,1,6,15,5
0,2,4,2,0.25
42,2,1,9,2.11
6,1,7,12,NA
66,2,3,5,1.43
22,1,2,15,4.73
14,1,2,3,0.43
10,2,3,14,2.04
54,1,3,6,1.87
62,1,3,8,2.36
33,1,3,8,1.76
70,1,3,3,0.62
65,2,6,15,5
36,1,6,15,5
56,1,3,15,5
2,1,6,15,5
34,2,1,4,0.89
23,2,3,8,2.48
4,1,3,14,2.76
16,1,1,8,0.85
56,2,1,6,1.88
41,1,6,15,5
44,2,2,6,0.75
40,2,4,15,5
20,1,4,7,1.65
33,2,1,14,2.46
3,1,1,9,1.49
52,1,4,4,0.66
31,1,6,10,3.24
12,2,4,3,0.45
15,2,2,7,1.07
48,2,4,99,NA
28,1,4,7,3.06
47,1,4,7,1.48
43,1,4,10,2.46
20,2,4,6,1.88
1,1,1,7,1.84
29,2,2,7,1.25
1,1,2,6,1.59
2,1,2,14,4.86
47,2,2,7,0.75
42,1,1,10,2.15
66,1,3,7,2.55
50,2,3,14,3.3
78,2,4,6,1.34
71,1,3,14,1.19
0,2,2,7,1.23
41,1,1,4,0.8
20,1,4,15,3.52
5,1,4,8,1.58
28,1,3,7,2.38
1,1,1,1,0.08
38,2,3,15,5
51,2,3,15,5
25,2,3,15,5
10,2,7,14,3.96
5,1,1,NA,NA
19,1,1,3,0.49
7,1,2,77,NA
76,2,3,7,2.95
44,1,3,8,1.58
71,1,4,9,4
53,2,4,4,0.85
18,1,6,15,4.98
10,1,2,4,0.6
45,1,6,15,5
1,2,1,3,0.46
18,1,4,6,1.24
2,1,2,10,2.67
6,1,3,10,2.76
31,1,3,10,1.85
3,1,1,77,NA
15,2,3,6,1.06
28,2,3,14,3.5
75,1,1,14,5
33,2,3,8,1.76
0,2,6,10,3.24
44,1,4,15,5
4,2,3,9,1.22
13,1,4,6,1.15
5,1,3,15,5
0,2,4,14,3.79
41,2,4,7,1.41
45,2,6,6,0.95
1,1,4,15,3.25
61,2,2,2,0.6
24,1,3,15,4.61
25,1,3,1,0.12
54,1,1,5,1.18
58,1,3,7,2.97
32,2,4,15,3.13
7,2,2,8,2.48
39,1,4,8,2.06
10,2,2,3,0.58
45,2,1,7,1.65
23,1,6,15,5
2,1,2,6,0.92
9,2,4,14,3.3
27,2,4,1,0.2
50,1,1,10,1.02
24,1,6,6,1.26
17,1,4,9,2.99
8,1,3,3,0.43
24,1,6,6,2.53
28,2,1,9,2.47
6,2,7,7,1.65
36,1,4,7,3.37
53,2,1,5,1.51
15,2,3,15,5
28,2,3,6,1.57
10,1,4,7,1.77
51,2,2,NA,NA
10,1,4,3,0.47
0,2,4,8,1.76
13,2,4,5,0.49
8,1,3,8,1.23
42,2,4,9,1.94
10,2,1,77,NA
2,2,3,8,2.38
56,2,3,9,3.64
5,2,1,5,0.74
4,1,3,15,5
26,1,3,7,1.32
33,1,1,10,2.36
62,2,2,3,0.88
40,1,4,NA,NA
54,2,3,14,3.98
33,1,6,NA,NA
15,2,6,8,1.86
32,1,1,7,1.41
1,1,6,14,1.03
22,1,2,7,1.73
15,1,7,5,0.91
0,1,3,15,5
1,1,1,9,1.47
46,1,2,7,1.48
35,2,1,4,0.82
44,2,4,10,2.46
12,1,6,8,1.58
15,2,3,15,5
2,1,1,9,2.84
2,2,3,6,1.49
61,2,4,77,NA
12,1,1,7,1.23
42,2,1,99,NA
0,1,1,14,1.72
11,1,3,10,2.68
6,2,2,4,0.62
52,2,6,7,1.23
8,2,1,6,0.61
46,2,4,12,NA
73,2,3,15,5
80,2,7,3,1.22
22,1,6,6,1.24
2,2,4,4,0.7
11,1,3,14,3.45
32,2,3,8,1.86
45,1,3,15,5
61,2,2,5,1.26
67,2,2,2,0.83
14,2,1,9,2
48,2,6,10,2.55
18,2,6,NA,NA
53,1,3,6,1.56
13,1,3,15,5
4,1,1,3,0.63
9,2,2,3,0.31
51,2,2,9,2.52
4,2,1,6,0.92
57,1,1,6,1.29
47,2,1,9,2.24
52,2,3,3,0.87
45,2,1,9,3.45
38,1,4,2,0.55
32,1,1,9,0.67
16,2,2,7,1.37
61,1,1,6,1.11
35,1,4,6,0.77
54,1,4,7,0.95
14,1,4,6,1.34
66,2,4,4,1.67
28,2,3,14,3.73
0,1,7,7,1.07
40,1,3,6,1.15
