RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
62,1,3,10,4.39
53,1,3,4,1.32
78,1,3,5,1.51
56,2,3,10,5
42,2,4,7,1.23
72,2,1,14,2.82
11,2,1,6,1.18
4,1,3,15,4.22
1,1,2,77,NA
22,1,4,7,2.08
32,2,1,6,1.03
18,1,6,15,5
56,1,4,3,1.19
15,2,3,4,0.86
4,2,6,12,NA
46,1,3,3,0.75
3,1,4,6,0.94
17,2,3,14,3.16
45,1,7,10,1.36
16,2,1,4,0.58
30,2,2,15,5
15,1,4,8,2.49
67,2,2,6,0.89
67,1,4,5,2.04
16,1,3,7,1.11
57,2,2,5,0.77
80,1,3,9,4.71
19,2,1,7,1.74
3,2,4,7,1.1
24,2,6,1,0
27,2,4,8,2.12
2,2,2,9,1.94
14,1,3,15,5
0,2,3,9,3.17
10,2,3,14,3.34
54,2,6,14,2.99
15,2,3,6,1.09
49,1,6,10,2.97
15,1,4,4,0.66
2,2,1,NA,NA
2,2,7,5,1.25
80,2,3,7,3.57
13,2,3,15,4.3
69,2,2,2,0.55
58,2,1,14,3.72
56,1,6,7,1.35
16,1,2,5,0.99
1,2,6,99,NA
4,1,1,14,2.82
27,2,4,77,NA
0,2,3,7,0.98
17,1,3,15,4.28
22,1,2,NA,NA
60,2,2,15,5
51,1,4,77,NA
68,2,1,4,1.49
69,2,3,7,1.79
66,1,3,10,5
56,1,3,4,1
80,2,3,12,NA
3,2,1,14,2.51
11,2,3,7,1.23
10,2,4,15,4.23
5,1,3,9,2.3
4,2,3,6,1.32
1,2,2,15,4.22
0,2,7,15,5
37,2,2,14,4.18
10,1,4,9,2.57
80,2,3,77,NA
29,2,1,NA,NA
27,1,4,6,2.36
1,1,1,4,0.57
7,2,4,7,1.89
2,2,3,4,0
10,2,1,12,NA
4,1,6,10,1.91
20,2,4,14,3.3
6,2,4,7,1.1
7,2,3,15,4.68
68,2,1,15,5
24,1,3,6,2.89
11,2,2,15,4.73
15,2,4,6,0.77
27,1,3,7,0
42,1,3,15,4.22
80,2,2,3,0.84
16,2,3,8,2.07
70,1,3,10,4.18
80,1,3,3,1.03
20,2,4,6,1.62
29,2,1,3,0.35
23,1,6,NA,0
16,2,4,6,0.77
6,1,1,77,NA
61,1,4,10,4.39
39,2,1,4,0.49
50,1,6,15,5
15,1,4,8,1.98
15,2,7,6,0.6
50,2,1,7,1.41
14,1,3,10,2.98
